onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1	RpHit
4.8	1.5	RpHit
11.4	2.5	Foil
16.2	2.5	Foil
19.2	1	RpMiss
23.5	1	RpCR
29.6	2.5	Foil
32.6	1.5	RpMiss
38.7	1.4	Miss
43.5	0.4	CR
46.5	1.5	RpMiss
51.3	1	RpMiss
56.9	0.7	Hit
61.7	1.1	Hit
66.5	0.4	Miss
69.5	1.5	RpFA
76.1	2.5	Foil
79.1	1	RpCR
83.4	1	RpCR
89.5	1.9	Miss
92.5	1.5	RpFA
97.3	1.5	RpHit
103.9	0.4	CR
108.2	0.9	Miss
112.5	0.8	FA
117.3	0.9	Hit
121.6	2.5	Foil
125.9	1.5	FA
128.9	1.5	RpCR
135.5	0.8	CR
138.5	1	RpHit
142.8	1.5	RpMiss
148.9	1.1	CR
151.9	1	RpMiss
156.2	1.5	RpFA
161	1	RpFA
165.3	1	RpFA
171.4	2.5	Foil
175.7	1.1	FA
178.7	1	RpFA
183	1	RpFA
187.3	1	RpMiss
192.9	1.6	Hit
197.7	2	Miss
202.5	0.6	FA
206.8	1.3	Miss
211.1	2.5	Foil
215.9	1.6	FA
220.7	1.7	FA
223.7	1.5	RpCR
228.5	1.5	RpMiss
235.1	2.5	FA
238.1	1	RpFA
243.7	1	Miss
248.5	0.3	Miss
251.5	1	RpCR
255.8	1	RpCR
261.9	2.5	Foil
264.9	1	RpCR
269.2	1.5	RpMiss
275.8	1.2	CR
280.1	1.5	CR
284.9	0.2	CR
289.7	0.3	Miss
294.5	1.4	FA
299.3	2.5	Foil
302.3	1	RpHit
308.4	0.6	CR
311.4	1.5	RpCR
316.2	1.5	RpMiss
321	1.5	RpMiss
325.8	1.5	RpHit
331.9	0.8	CR
334.9	1.5	RpHit
341.5	0.4	Miss
346.3	1	Hit
349.3	1	RpMiss
355.4	1.2	Hit
359.7	1.7	Hit
364	2.5	Foil
367	1.5	RpCR
373.6	0.5	Miss
377.9	2.5	Foil
382.2	2.5	Foil
386.5	2.5	Foil
389.5	1.5	RpCR
394.3	1	RpFA
398.6	1	RpMiss
404.2	1.3	Miss
408.5	0.4	CR
413.3	1.6	FA
417.6	0.6	Miss
421.9	0.5	CR
426.7	2.5	Foil
